Image	1	-0.116429	-0.190789	1.40426	0.413889	0.881683	-0.0730135	-0.214476	
Image	2	-0.207669	-0.201395	1.43586	0.497465	0.84459	-0.0805657	-0.180849	
Image	3	-0.253494	-0.202629	1.45007	0.521199	0.827064	-0.0209593	-0.209471	
Image	4	-0.310241	-0.197231	1.43167	0.549363	0.810165	0.0180206	-0.203737	
Image	5	-0.35492	-0.20278	1.45917	0.589215	0.786827	-0.0039472	-0.183612	
Image	6	-0.373877	-0.207416	1.47563	0.600159	0.778416	-0.0135648	-0.183557	
Image	7	-0.41005	-0.222991	1.53203	0.611877	0.764488	-0.0151078	-0.202325	
Image	8	-0.421143	-0.229943	1.55741	0.613609	0.763192	-0.0173708	-0.201792	
Image	9	-0.420688	-0.247934	1.59964	0.612822	0.744591	0.00874258	-0.264493	
Image	10	-0.385833	-0.25239	1.57991	0.554761	0.752225	0.00255377	-0.355516	
Image	11	-0.362151	-0.245833	1.55494	0.520296	0.758974	0.00744222	-0.391402	
Image	12	-0.329792	-0.212149	1.51464	0.492958	0.769499	0.0244264	-0.405298	
Image	13	-0.363447	-0.318272	1.92559	0.529364	0.767704	-0.0877518	-0.350292	
Image	14	-0.463574	-0.204045	2.03793	0.603924	0.783243	-0.125788	-0.0773553	
Image	15	-0.259499	-0.17103	1.76285	0.516281	0.781817	-0.155412	-0.31315	
Image	16	-0.280402	-0.254708	1.74445	0.452	0.795994	-0.0345663	-0.401117	
Image	17	-0.235651	-0.235044	1.65676	0.453	0.862947	-0.0921902	-0.203997	
Image	18	-0.216314	-0.223054	1.62374	0.445756	0.87787	-0.108489	-0.13739	
Image	19	-0.191982	-0.196593	1.58568	0.446803	0.888623	-0.100169	-0.0261088	
Image	20	-0.188608	-0.180424	1.58553	0.463008	0.880839	-0.0744551	0.0648344	
