Image	1	-0.000998637	-0.0314082	0.790859	-0.235857	0.923733	-0.290367	-0.0823203	
Image	2	0.227363	0.06919	0.811209	0.648834	-0.564578	0.217321	0.461561	
Image	3	0.196518	-0.0978003	0.806043	0.663161	-0.611071	0.142806	0.407942	
Image	4	0.138508	-0.0288186	0.845629	0.655713	-0.607628	0.183529	0.408833	
Image	5	0.186056	-0.00155258	0.838342	0.660107	-0.584872	0.18851	0.432028	
Image	6	0.016759	0.0949809	0.993816	0.809204	-0.27321	0.127735	0.504211	
Image	7	0.025273	0.0747566	0.96654	0.809749	-0.265133	0.0874709	0.5161	
Image	8	0.086968	-0.033977	0.936537	0.837088	-0.273468	0.0498382	0.471185	
Image	9	0.110511	-0.0529812	0.902786	0.840557	-0.269541	0.0325852	0.468774	
Image	10	0.243054	-0.0625401	0.845622	0.846329	-0.216113	-0.0152511	0.486611	
Image	11	0.0121596	0.0924949	1.14201	0.827423	0.0882309	-0.0986306	0.545764	
Image	12	0.126637	0.118655	1.13152	0.819181	0.120681	-0.141695	0.542496	
Image	13	0.24697	0.192753	1.02482	0.782758	0.155053	-0.180383	0.575074	
Image	14	0.286388	0.207554	0.996322	0.772192	0.167223	-0.193509	0.581645	
Image	15	0.2633	0.190924	1.02512	0.780429	0.161347	-0.182711	0.575773	
Image	16	0.266075	0.184227	1.00988	0.781841	0.160808	-0.183415	0.57378	
Image	17	0.239292	0.109802	1.02562	0.806559	0.149511	-0.176098	0.544149	
Image	18	-0.0411301	-0.174629	1.10491	0.847899	0.322154	-0.211012	0.364361	
Image	19	0.209291	-0.0740483	1.0833	0.75041	0.457492	-0.289139	0.379453	
Image	20	0.192599	-0.0657748	1.07949	0.74948	0.455382	-0.287953	0.384695	
Image	21	0.155353	-0.0697927	1.10065	0.753561	0.454377	-0.264765	0.394446	
Image	22	0.0993765	0.0317689	1.08554	0.750097	0.383878	-0.273165	0.464083	
Image	23	0.0880784	0.0365717	1.08035	0.753166	0.378205	-0.274211	0.463152	
Image	24	0.0414318	0.0679885	1.08481	0.755508	0.360912	-0.26601	0.477691	
Image	25	0.1202	-0.0709249	1.06719	0.775783	0.389955	-0.277982	0.410879	
Image	26	0.102878	-0.0272885	1.07356	0.769791	0.379727	-0.280595	0.429529	
Image	27	0.0384468	-0.18355	0.96731	0.776861	0.503543	-0.255099	0.279025	
Image	28	-0.0460394	0.078081	0.967738	0.643051	0.559319	-0.34142	0.396333	
Image	29	-0.055563	0.0288844	0.94103	0.646584	0.585053	-0.325829	0.365344	
Image	30	-0.0306773	0.17598	1.00232	0.612694	0.576817	-0.348919	0.412484	
Image	31	0.275606	-0.0571635	0.921227	0.592526	0.64845	-0.399629	0.262149	
Image	32	0.071091	0.0195848	0.956134	0.666599	0.551458	-0.377035	0.330733	
Image	33	0.174213	-0.0781314	0.921079	0.644802	0.602029	-0.378277	0.28053	
Image	34	0.247694	-0.0995796	0.914117	0.626909	0.623231	-0.394883	0.250271	
Image	35	0.173856	-0.0580848	0.921758	0.646862	0.590491	-0.389169	0.285373	
Image	36	0.177416	-0.0558533	0.919243	0.649654	0.5842	-0.394512	0.284639	
